Fri 14 Mar 2025 03:50:45 AM,47.847,0.0112,1.1121
Fri 14 Mar 2025 03:50:49 AM,34.166,0.0023,0.7245
Fri 14 Mar 2025 03:50:54 AM,39.523,0.0016,0.7015
Fri 14 Mar 2025 03:50:59 AM,56.024,0.0131,0.7564
Fri 14 Mar 2025 03:51:04 AM,77.526,0.0018,0.9013
Fri 14 Mar 2025 03:51:09 AM,33.849,0.0014,0.7019
Fri 14 Mar 2025 03:51:14 AM,40.088,0.0012,0.7122
Fri 14 Mar 2025 03:51:19 AM,34.770,0.0015,0.7217
Fri 14 Mar 2025 03:51:24 AM,39.919,0.0017,1.3385
Fri 14 Mar 2025 03:51:29 AM,44.887,0.0012,0.7109
Fri 14 Mar 2025 03:51:34 AM,36.841,0.0013,0.7098
Fri 14 Mar 2025 03:51:38 AM,62.609,0.0024,0.7635
Fri 14 Mar 2025 03:51:43 AM,48.407,0.0013,0.745
Fri 14 Mar 2025 03:51:48 AM,40.056,0.0015,0.723
Fri 14 Mar 2025 03:51:53 AM,63.579,0.0022,0.763
Fri 14 Mar 2025 03:51:58 AM,49.449,0.0017,1.4522
Fri 14 Mar 2025 03:52:03 AM,43.328,0.0026,0.7462
Fri 14 Mar 2025 03:52:09 AM,51.481,0.0139,1.3583
Fri 14 Mar 2025 03:52:14 AM,34.449,0.0014,0.72
Fri 14 Mar 2025 03:52:18 AM,36.186,0.0009,0.7108
Fri 14 Mar 2025 03:52:24 AM,39.026,0.0137,1.5914
Fri 14 Mar 2025 03:52:29 AM,86.698,0.001,0.7155
Fri 14 Mar 2025 03:52:34 AM,49.707,0.0027,0.6992
Fri 14 Mar 2025 03:52:38 AM,48.005,0.0082,0.7191
Fri 14 Mar 2025 03:52:43 AM,38.476,0.0011,0.7205
Fri 14 Mar 2025 03:52:48 AM,33.530,0.0011,0.7522
Fri 14 Mar 2025 03:52:53 AM,53.810,0.0092,0.7561
Fri 14 Mar 2025 03:52:58 AM,57.252,0.0012,0.7319
Fri 14 Mar 2025 03:53:03 AM,41.178,0.0028,0.6492
Fri 14 Mar 2025 03:53:07 AM,40.574,0.0025,0.7127
Fri 14 Mar 2025 03:53:12 AM,40.373,0.0015,0.7516
Fri 14 Mar 2025 03:53:17 AM,36.617,0.0011,0.659
Fri 14 Mar 2025 03:53:22 AM,35.834,0.001,0.6677
Fri 14 Mar 2025 03:53:27 AM,35.153,0.0015,0.9642
Fri 14 Mar 2025 03:53:32 AM,41.218,0.0014,0.6648
Fri 14 Mar 2025 03:53:36 AM,90.994,0.0012,0.7754
Fri 14 Mar 2025 03:53:41 AM,38.621,0.0014,0.7364
Fri 14 Mar 2025 03:53:46 AM,36.151,0.0018,0.7384
Fri 14 Mar 2025 03:53:51 AM,38.980,0.0013,0.6847
Fri 14 Mar 2025 03:53:56 AM,43.429,0.0031,0.8501
Fri 14 Mar 2025 03:54:01 AM,37.171,0.0009,0.7158
Fri 14 Mar 2025 03:54:05 AM,42.789,0.0021,0.6947
Fri 14 Mar 2025 03:54:10 AM,39.103,0.001,0.6454
Fri 14 Mar 2025 03:54:15 AM,34.256,0.002,0.7901
Fri 14 Mar 2025 03:54:20 AM,37.952,0.0013,0.7062
Fri 14 Mar 2025 03:54:25 AM,51.309,0.0054,0.7915
Fri 14 Mar 2025 03:54:29 AM,44.355,0.001,0.659
Fri 14 Mar 2025 03:54:34 AM,35.600,0.005,0.6793
Fri 14 Mar 2025 03:54:39 AM,41.835,0.0027,0.7332
Fri 14 Mar 2025 03:54:44 AM,54.342,0.0017,0.768
Fri 14 Mar 2025 03:54:49 AM,34.864,0.0014,0.7077
Fri 14 Mar 2025 03:54:53 AM,47.624,0.0044,0.6936
Fri 14 Mar 2025 03:54:58 AM,42.437,0.0014,0.7933
Fri 14 Mar 2025 03:55:03 AM,39.892,0.0055,0.7365
Fri 14 Mar 2025 03:55:08 AM,39.568,0.0029,0.7016
Fri 14 Mar 2025 03:55:13 AM,43.190,0.0015,0.7266
Fri 14 Mar 2025 03:55:17 AM,40.532,0.0011,0.6976
Fri 14 Mar 2025 03:55:22 AM,36.852,0.0012,0.7252
Fri 14 Mar 2025 03:55:27 AM,34.919,0.001,0.7286
Fri 14 Mar 2025 03:55:32 AM,35.013,0.0012,0.6667
Fri 14 Mar 2025 03:55:37 AM,43.556,0.0015,0.7104
Fri 14 Mar 2025 03:55:41 AM,38.168,0.001,0.7099
Fri 14 Mar 2025 03:55:46 AM,40.861,0.0054,0.683
Fri 14 Mar 2025 03:55:51 AM,49.295,0.0106,0.655
